Country,Year,Population,External Cost,Share External Cost,GDP [million Euro],GrDP per capita
Greece,2008,11060937,71268.58523,29.45099691,241990.4,15434.66117
Spain,2008,45668939,186437.1235,16.80308556,1109541,20212.94772
France,2008,64007193,287184.0805,14.41412183,1992380,26640.69208
Croatia,2008,4311967,30247.44124,62.58056764,48333.6,4194.410291
Italy,2008,58652875,494608.2056,30.2014036,1637699.4,19489.09059
Cyprus,2008,776333,2122.86203,11.16731562,19009.6,21751.926
Latvia,2008,2191810,12291.47339,50.10485861,24531.5,5584.437798
Lithuania,2008,3212605,5560.46301,17.02524796,32660.1,8435.408956
Luxembourg,2008,483799,6135.11069,15.33409654,40009.6,70017.69187
Hungary,2008,10045401,48756.6903,44.98729484,108378.8,5935.264277
Malta,2008,407832,1077.69107,17.36530889,6206,12574.56239
Netherlands,2008,16405399,94220.89239,14.55827929,647198,33707.01972
Austria,2008,8307989,43700.85687,14.8762848,293761.9,30098.86546
Poland,2008,38115641,181124.5701,49.48211199,366040.5,4851.44484
Portugal,2008,10553339,49360.49695,27.55986894,179102.8,12293.95768
Romania,2008,20635460,127982.5594,87.30611605,146590.6,901.7507073
Slovenia,2008,2010269,20701.17294,54.58349599,37925.7,8568.269749
Slovakia,2008,5376064,28582.25894,43.24217934,66098.1,6978.309979
Finland,2008,5300484,14032.90942,7.223591187,194265,34002.94965
Sweden,2008,9182927,10952.35726,3.08620472,354881.1,37453.06292
Norway,2008,4737171,11681.64582,3.684811856,317021.5,64456.16048
Switzerland,2008,7593494,33852.87095,8.69974868,389124.7,46786.34487
United Kingdom,2008,61571647,314954.2896,15.78042335,1995854.5,27299.90657
Belgium,2009,10753080,83377.47841,24.06465339,346472.8,24466.97333
Bulgaria,2009,7467119,55677.24094,148.7992072,37417.7,-2445.326094
Czechia,2009,10425783,74882.01051,50.05933725,149586.5,7165.360097
Denmark,2009,5511451,19886.73502,8.598628067,231278,38354.92051
Germany,2009,82002356,385643.5201,15.76803327,2445730,25122.28405
Estonia,2009,1335740,3980.86617,28.16936272,14131.9,7599.55817
Ireland,2009,4521322,17906.97982,10.56336215,169519.7,33532.8296
Greece,2009,11094745,66254.96557,27.89281104,237534.2,15437.87031
Spain,2009,46239273,170404.7192,15.93575741,1069323,19440.57989
France,2009,64350226,267915.1849,13.83557845,1936422,25928.53077
Croatia,2009,4309796,28692.39156,63.18086975,45413.1,3879.698352
Italy,2009,59000586,450565.4648,28.56641492,1577255.9,19096.25839
Cyprus,2009,796930,1984.14426,10.62431667,18675.5,20944.56946
Latvia,2009,2162834,11755.488,62.12603319,18922,3313.482218
Lithuania,2009,3183856,4710.27557,17.51227115,26897,6968.507505
Luxembourg,2009,493500,5648.56156,14.46468709,39050.7,67684.1711
Hungary,2009,10030975,51549.21326,54.46988869,94638,4295.573136
Malta,2009,410926,932.27383,14.89350486,6259.6,12964.19835
Netherlands,2009,16485787,87724.75611,14.03951017,624842,32580.62499
Austria,2009,8335003,40914.81095,14.20436147,288044,29649.5621
Poland,2009,38135876,168965.2138,53.29450353,317040.6,3882.836892
Portugal,2009,10563014,46244.23767,26.36255086,175416.4,12228.72206
Romania,2009,20440290,114328.9081,91.30688213,125213.9,532.5262959
Slovenia,2009,2032362,18316.3184,50.52094586,36254.9,8826.469694
Slovakia,2009,5382401,26392.66409,41.1770937,64095.5,7004.835929
Finland,2009,5326314,11648.51167,6.409190617,181747,31935.49767
Sweden,2009,9256347,9985.22764,3.173565656,314637.5,32912.79728
Norway,2009,4799252,10528.38729,3.783833223,278246.6,55783.32055
Switzerland,2009,7701856,32083.03191,7.976159284,402236.6,48060.30755
United Kingdom,2009,62042343,282623.5226,16.26080029,1738066.5,23458.86546
Belgium,2010,10839905,83877.66529,23.09788021,363140.1,25762.443
Bulgaria,2010,7421766,53291.07646,139.1960707,38284.9,-2021.914523
Czechia,2010,10462088,76301.33383,48.3162027,157920.8,7801.450931
Denmark,2010,5534738,19730.97438,8.114219531,243165.4,40369.46747
Germany,2010,81802257,397451.1392,15.49879657,2564400,26490.08646
Estonia,2010,1333290,5212.67763,35.36152411,14741.1,7146.54904
Ireland,2010,4549428,17200.2695,10.2754798,167391.4,33013.1899
Greece,2010,11119289,51475.75847,22.96753515,224124,15526.91377
Spain,2010,46486619,161467.2857,15.0522915,1072709,19602.23681
France,2010,64658856,266626.4792,13.36280003,1995289,26735.12381
Croatia,2010,4302847,26339.05303,57.78896185,45578,4471.213355
Italy,2010,59190143,439373.5157,27.26861125,1611279.4,19799.00411
Cyprus,2010,819140,2004.97427,10.32959438,19410,21247.92554
Latvia,2010,2120504,12022.69865,67.0254977,17937.5,2789.337511
Lithuania,2010,3141976,4509.68347,16.08659358,28033.8,7487.045264
Luxembourg,2010,502066,5784.54973,13.64193726,42402.7,72934.9334
Hungary,2010,10014324,51638.20522,51.73453492,99813.8,4810.668676
Malta,2010,414027,1010.39077,14.82424323,6815.8,14021.81314
Netherlands,2010,16574989,87794.95605,13.73541015,639187,33266.5104
Austria,2010,8351643,41709.09057,14.09583299,295896.6,30435.62918
Poland,2010,38022869,177091.3069,48.89446613,362190.9,4868.112217
Portugal,2010,10573479,44453.21777,24.74974655,179610.8,12782.69737
Romania,2010,20294683,108715.2541,86.64482451,125472.3,825.6865042
Slovenia,2010,2046976,18189.60143,50.02104128,36363.9,8878.608528
Slovakia,2010,5390410,27751.27084,40.51747696,68492.1,7558.020477
Finland,2010,5351427,14267.56386,7.583361518,188143,32491.41512
Sweden,2010,9340682,10615.8861,2.83320579,374695.2,38977.80846
Norway,2010,4858199,11555.62015,3.569183355,323760.9,64263.58407
Switzerland,2010,7785806,32070.47945,7.03402259,455933.7,54440.50629
United Kingdom,2010,62510197,289099.2307,15.4418873,1872175.5,25325.08847
Belgium,2011,11000638,74689.41289,19.86590684,375967.8,27387.35582
Bulgaria,2011,7369431,61842.21861,149.0931983,41478.9,-2763.214502
Czechia,2011,10486731,74838.2007,45.30097099,165202.2,8616.984578
Denmark,2011,5560628,18302.47894,7.383607521,247879.9,41286.2398
Germany,2011,80222065,389349.5829,14.45483237,2693560,28722.90083
Estonia,2011,1329660,5399.98724,32.37926547,16677.3,8481.350691
Ireland,2011,4570881,15773.91191,9.18673147,171703.2,34113.61794
Greece,2011,11123392,46213.40271,22.73071264,203308.2,14122.92197
Spain,2011,46667174,162957.6264,15.31897861,1063763,19302.76244
France,2011,64978721,243918.5608,11.85008912,2058369,27923.76352
Croatia,2011,4289857,25337.67938,55.83618574,45378.6,4671.698991
Italy,2011,59364690,385363.7388,23.37300277,1648755.8,21281.87751
Cyprus,2011,839751,1968.92885,9.94257865,19803,21237.33244
Latvia,2011,2074605,6649.18771,33.81057516,19666,6274.356945
Lithuania,2011,3052588,4609.74569,14.71953332,31317.2,8749.118554
Luxembourg,2011,511840,5676.67736,12.80737613,44323.5,75505.67099
Hungary,2011,9985722,53274.30331,52.13081391,102193.5,4898.914339
Malta,2011,414989,940.94076,13.58837709,6924.6,14418.83819
Netherlands,2011,16655799,83111.6318,12.77934676,650359,34057.04933
Austria,2011,8375164,40226.63301,12.97094819,310128.7,32226.48141
Poland,2011,38062718,171718.9722,45.20585801,379860,5468.370067
Portugal,2011,10572721,44743.35758,25.40847422,176096.2,12423.74999
Romania,2011,20199059,104618.1701,79.35141114,131841.6,1347.757335
Slovenia,2011,2050189,17935.37496,48.39733546,37058.6,9327.542505
Slovakia,2011,5392446,26295.19638,36.78828097,71477.1,8378.740115
Finland,2011,5375276,12688.86186,6.408580824,197998,34474.34851
Sweden,2011,9415570,9926.64056,2.404449072,412844.7,42792.74217
Norway,2011,4920305,11099.06943,3.097361423,358339.5,70572.94834
