Country,Year,Population,External Cost,Share External Cost,GDP [million Euro],GrDP per capita
Bulgaria,2016,7153784,39481.23908,80.94879981,48773.1,1298.873564
Czechia,2016,10553843,65852.39489,37.11279958,177438.5,10573.03061
Denmark,2016,5707251,15917.49108,5.622375736,283109.7,46816.2709
Germany,2016,82175684,361362.9192,11.52768393,3134740,33749.36412
Estonia,2016,1315944,4355.3467,20.02651612,21747.9,13216.78833
Ireland,2016,4726286,15770.49983,5.83648797,270205.3,53833.983
Greece,2016,10783748,35496.55686,20.34254254,174494.2,12889.54853
Spain,2016,46440099,143058.7861,12.84374651,1113840,20903.94368
France,2016,66638391,213226.3402,9.544047823,2234129,30326.40239
Croatia,2016,4190669,21015.54156,44.48081979,47246.3,6259.324809
Italy,2016,60665551,347841.3903,20.51209446,1695786.8,22219.289
Cyprus,2016,848319,1665.92188,8.800757978,18929.3,20350.10193
Latvia,2016,1968957,5801.38484,22.8659345,25371.3,9939.229328
Lithuania,2016,2888558,4411.35849,11.34319834,38889.9,11936.24691
Luxembourg,2016,576249,4258.79427,7.576833713,56208.1,90150.79545
Hungary,2016,9830485,48774.68196,41.94610736,116279.4,6866.875647
Malta,2016,450415,569.85884,5.40606616,10541.1,22137.89763
Netherlands,2016,16979120,73821.43499,10.4217957,708337,37370.34458
Austria,2016,8700471,36891.10899,10.31607486,357608,36862.01483
Poland,2016,37967209,151474.4422,35.46648336,427091.8,7259.352612
Portugal,2016,10341330,38888.73376,20.85300845,186489.8,14272.92875
Romania,2016,19760585,82239.80695,48.35832222,170063.4,4444.382241
Slovenia,2016,2064188,15921.87203,39.36847735,40443.2,11879.40632
Slovakia,2016,5426252,21956.31988,27.10178312,81014.3,10883.75183
Finland,2016,5487308,10784.01737,4.957758608,217518,37674.9369
Sweden,2016,9851017,8387.88807,1.798947184,466266.5,46480.33923
Norway,2016,5210721,10720.62545,3.214857006,333471.3,61939.73436
Switzerland,2016,8327126,26536.33025,4.22062684,628729.6,72317.0599
United Kingdom,2016,65379044,221962.2929,9.118793069,2434119.2,33835.87113
Belgium,2017,11351727,62707.23128,14.08992634,445050.1,33681.47144
Bulgaria,2017,7101859,39195.01215,74.61268263,52531.3,1877.85872
Czechia,2017,10578820,65647.04473,33.81551748,194132.9,12145.57534
Denmark,2017,5748769,15485.94269,5.252887365,294808.2,48588.18598
Germany,2017,82521653,354239.8114,10.84243843,3267160,35298.85894
Estonia,2017,1315635,4724.54621,19.82304901,23833.6,14524.58607
Ireland,2017,4784383,15861.62277,5.326925144,297763.2,58921.19783
Greece,2017,10768193,36333.14777,20.53841123,176903.4,13054.20995
Spain,2017,46528024,144404.5937,12.42866814,1161867,21867.73301
France,2017,66809816,209828.9247,9.133949521,2297242,31244.10753
Croatia,2017,4154213,20821.93942,41.73670126,49888.8,6996.959612
Italy,2017,60589445,350235.8227,20.16798772,1736592.8,22881.16317
Cyprus,2017,854802,1651.95555,8.159699041,20245.3,21751.63892
Latvia,2017,1950116,5907.6908,21.89298558,26984.4,10807.92589
Lithuania,2017,2847904,4437.29752,10.49594577,42276.3,13286.61446
Luxembourg,2017,590667,4068.75797,6.994742835,58168.8,91591.44159
Hungary,2017,9797561,48187.27609,37.92899902,127046,8048.811731
Malta,2017,460297,529.75962,4.436476175,11941,24791.03792
Netherlands,2017,17081507,72491.62144,9.82077007,738146,38969.30046
Austria,2017,8772865,36388.36686,9.851683907,369361.9,37954.9364
Poland,2017,37972964,155765.1318,33.32397681,467426.6,8207.456974
Portugal,2017,10309573,41448.44217,21.15286269,195947.2,14985.9512
Romania,2017,19643949,81936.64358,43.63607893,187772.7,5387.717939
Slovenia,2017,2065895,15632.21975,36.34444844,43011.3,13252.89051
Slovakia,2017,5435343,22504.76207,26.65086357,84442.9,11395.44237
Finland,2017,5503297,10343.40305,4.570639569,226301,39241.49414
Sweden,2017,9995153,8872.93186,1.848429273,480025.5,47138.10465
Norway,2017,5258317,10400.33335,2.943631643,353316.4,65214.03458
Switzerland,2017,8419550,25886.97616,4.148593762,623994,71037.8849
United Kingdom,2017,65844142,219688.0147,9.309642977,2359789.9,32502.5404
Belgium,2018,11398589,60723.17825,13.19805992,460091.7,35036.66302
Bulgaria,2018,7050034,37741.62606,67.12641608,56224.7,2621.699972
Czechia,2018,10610055,64211.05112,30.43603306,210970.5,13832.1101
Denmark,2018,5781190,15325.21261,5.069056497,302328.7,49644.3617
Germany,2018,82792351,341482.5209,10.14671206,3365450,36524.72049
Estonia,2018,1319133,4321.99639,16.74043927,25817.7,16295.32701
Ireland,2018,4830392,15825.38649,4.845030617,326631.3,64343.82831
Greece,2018,10741165,34438.776,19.17978232,179557.7,13510.53857
Spain,2018,46658447,145365.4121,12.08097443,1203259,22673.14186
France,2018,67026224,199990.9017,8.462336306,2363306,32275.65226
Croatia,2018,4105493,19970.85913,37.90342374,52688.8,7969.308648
Italy,2018,60483973,326971.9718,18.4584846,1771391.2,23881.02429
Cyprus,2018,864236,1652.56171,7.646288323,21612.6,23095.58765
Latvia,2018,1934379,6388.7267,21.91402331,29153.6,11768.56929
Lithuania,2018,2808901,4454.3219,9.786535149,45514.8,14617.98693
Luxembourg,2018,602005,3966.63411,6.571387574,60362.2,93679.56394
Hungary,2018,9778371,45039.99545,33.09977957,136073.4,9309.669734
Malta,2018,475701,526.48571,4.064020363,12954.8,26126.31525
Netherlands,2018,17181084,70217.08853,9.072127637,773987,40961.90389
Austria,2018,8822267,34450.2923,8.938284149,385424,39782.71205
Poland,2018,37976687,153588.6931,30.85087247,497842.3,9064.866741
Portugal,2018,10291027,38311.73006,18.67188055,205184.1,16215.32719
Romania,2018,19533481,82613.38142,40.39835392,204496.9,6239.723405
Slovenia,2018,2066880,14860.22367,32.40048593,45864.2,15000.3756
Slovakia,2018,5443120,20399.89196,22.81101639,89430,12682.08455
Finland,2018,5513130,11264.48643,4.824976412,233462,40303.33287
Sweden,2018,10120242,8410.26686,1.78685947,470673.1,45677.05329
Norway,2018,5295619,10475.33944,2.828922682,370294.3,67946.53478
Switzerland,2018,8484130,25202.56463,4.047005461,622746,70430.726
United Kingdom,2018,66273576,215700.4388,8.90993797,2420897.2,33274.14777
Belgium,2019,11455519,58647.50402,12.26322326,478238.9,36627.88181
Bulgaria,2019,7000039,33705.37847,54.75385566,61558,3978.923765
Czechia,2019,10649800,60325.16193,26.73827671,225613.5,15520.32321
Denmark,2019,5806081,14179.80313,4.581128825,309526.4,50868.49406
Germany,2019,83019213,324979.9957,9.356627368,3473260,37922.30606
Estonia,2019,1324820,2868.04425,10.34189104,27732.3,18768.02566
Ireland,2019,4904240,14719.10663,4.126413461,356704.6,69732.61777
Greece,2019,10724599,33216.06622,18.12605387,183250.4,13989.73834
Spain,2019,46937060,137422.2003,11.04347165,1244375,23583.76941
France,2019,67177636,192004.9241,7.876688845,2437635,33428.23906
Croatia,2019,4076246,19451.801,35.00325887,55571.4,8860.995877
Italy,2019,59816673,320560.1973,17.84226687,1796633.8,24676.62491
Cyprus,2019,875899,1624.53465,7.060155194,23009.9,24415.33253
Latvia,2019,1919968,6123.37661,19.98021552,30647.2,12773.03757
Lithuania,2019,2794184,4486.18221,9.181726139,48859.9,15880.74293
Luxembourg,2019,613894,3782.107,6.031664546,62704.2,95980.89084
Hungary,2019,9772756,43407.57448,29.70818138,146113.2,10509.38195
Malta,2019,493559,543.2841,3.86758904,14047.1,27360.08441
Netherlands,2019,17282163,67130.87846,8.256622056,813055,43161.5025
Austria,2019,8858775,33908.50176,8.530043699,397518.5,41045.17817
Poland,2019,37972812,144989.6625,27.17198082,533599.9,10233.90729
Portugal,2019,10276617,37638.98401,17.55757632,214374.6,17197.84011
Romania,2019,19414458,83967.0667,37.62597511,223162.5,7169.679076
Slovenia,2019,2080908,13348.04384,27.58048346,48396.7,16842.96286
Slovakia,2019,5450421,19526.3005,20.7620582,94048,13672.65015
Finland,2019,5517919,9887.20951,4.122109544,239858,41677.08705
Sweden,2019,10230185,7737.17908,1.622494011,476869.5,45857.6576
Norway,2019,5328212,9798.113715,2.70864709,361734.6,66051.51715
Switzerland,2019,8544527,24310.25745,3.7186852,653732.6,73663.8017
United Kingdom,2019,66647112,208353.2035,8.246336975,2526615.2,34784.13283
